   type construction operation months damage
1     A      1960-64   1960-74    127      0
2     A      1960-64   1975-79     63      0
3     A      1965-69   1960-74   1095      3
4     A      1965-69   1975-79   1095      4
5     A      1970-74   1960-74   1512      6
6     A      1970-74   1975-79   3353     18
7     A      1975-79   1975-79   2244     11
8     B      1960-64   1960-74  44882     39
9     B      1960-64   1975-79  17176     29
10    B      1965-69   1960-74  28609     58
11    B      1965-69   1975-79  20370     53
12    B      1970-74   1960-74   7064     12
13    B      1970-74   1975-79  13099     44
14    B      1975-79   1975-79   7117     18
15    C      1960-64   1960-74   1179      1
16    C      1960-64   1975-79    552      1
17    C      1965-69   1960-74    781      0
18    C      1965-69   1975-79    676      1
19    C      1970-74   1960-74    783      6
20    C      1970-74   1975-79   1948      2
21    C      1975-79   1975-79    274      1
22    D      1960-64   1960-74    251      0
23    D      1960-64   1975-79    105      0
24    D      1965-69   1960-74    288      0
25    D      1965-69   1975-79    192      0
26    D      1970-74   1960-74    349      2
27    D      1970-74   1975-79   1208     11
28    D      1975-79   1975-79   2051      4
29    E      1960-64   1960-74     45      0
30    E      1965-69   1960-74    789      7
31    E      1965-69   1975-79    437      7
32    E      1970-74   1960-74   1157      5
33    E      1970-74   1975-79   2161     12
34    E      1975-79   1975-79    542      1
